Time,Accel_x,Accel_y,Accel_z,PitchSpeed,YawSpeed,RollSpeed
7/26/2018 3:29:12 PM,0.1067448,-0.9914204,-0.07543946,13.05,9.55,48.5
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.7,10.5,48.7
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.7,10.5,48.7
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,13.55,11.3,49.1
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,13.55,11.3,49.1
7/26/2018 3:29:12 PM,0.08664429,-0.9940801,-0.06555626,13.35,10.75,49.6
7/26/2018 3:29:12 PM,0.08664429,-0.9940801,-0.06555626,13.35,10.75,49.6
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.65,9.95,49.25
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.65,9.95,49.25
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,11.75,10,48.8
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,11.75,10,48.8
7/26/2018 3:29:12 PM,0.08319631,-0.9938828,-0.0726317,11.45,9.650001,48.5
7/26/2018 3:29:12 PM,0.08319631,-0.9938828,-0.0726317,11.45,9.650001,48.5
7/26/2018 3:29:12 PM,0.08401798,-0.993761,-0.07334903,12.15,10.3,49.3
7/26/2018 3:29:12 PM,0.08401798,-0.993761,-0.07334903,12.15,10.3,49.3
7/26/2018 3:29:12 PM,0.08407428,-0.994427,-0.06361175,12.35,10.3,48.75
7/26/2018 3:29:12 PM,0.08407428,-0.994427,-0.06361175,12.35,10.3,48.75
7/26/2018 3:29:12 PM,0.09388275,-0.9935526,-0.06355582,13.15,9.900001,48.95
7/26/2018 3:29:12 PM,0.09388275,-0.9935526,-0.06355582,13.15,9.900001,48.95
7/26/2018 3:29:12 PM,0.08664429,-0.9940801,-0.06555626,13.15,10.4,49.05
7/26/2018 3:29:12 PM,0.08664429,-0.9940801,-0.06555626,13.15,10.4,49.05
7/26/2018 3:29:12 PM,0.08407428,-0.994427,-0.06361175,13,9.95,48.6
7/26/2018 3:29:12 PM,0.08407428,-0.994427,-0.06361175,13,9.95,48.6
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.35,9.75,48.45
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.35,9.75,48.45
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.35,9.75,48.45
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.35,9.75,48.45
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12,10.45,48.9
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12,10.45,48.9
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.3,10.25,49.35
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.3,10.25,49.35
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,12.9,10.65,49.45
7/26/2018 3:29:12 PM,0.08658266,-0.993373,-0.07558803,12.9,10.65,49.45
7/26/2018 3:29:12 PM,0.08401798,-0.993761,-0.07334903,12.8,10.05,49.5
7/26/2018 3:29:12 PM,0.08401798,-0.993761,-0.07334903,12.8,10.05,49.5
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.75,10.15,49.35
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,12.75,10.15,49.35
7/26/2018 3:29:12 PM,0.08664429,-0.9940801,-0.06555626,12.15,9.6,49.1
7/26/2018 3:29:12 PM,0.08664429,-0.9940801,-0.06555626,12.15,9.6,49.1
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,11.85,9.95,48.45
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,11.85,9.95,48.45
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,11.3,10,49
7/26/2018 3:29:12 PM,0.09667861,-0.9924467,-0.07551755,11.3,10,49
7/26/2018 3:29:13 PM,0.08319631,-0.9938828,-0.0726317,13.05,10.75,48.75
7/26/2018 3:29:13 PM,0.08319631,-0.9938828,-0.0726317,13.05,10.75,48.75
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,13.4,10.45,49
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,13.4,10.45,49
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,13.95,9.95,49.35
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,13.95,9.95,49.35
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,12.9,10.1,49.2
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,12.9,10.1,49.2
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,12.1,10.65,48.75
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,12.1,10.65,48.75
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,12,9.6,48.6
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,12,9.6,48.6
7/26/2018 3:29:13 PM,0.08401798,-0.993761,-0.07334903,12.75,10.65,48.95
7/26/2018 3:29:13 PM,0.08401798,-0.993761,-0.07334903,12.75,10.65,48.95
7/26/2018 3:29:13 PM,0.08658266,-0.993373,-0.07558803,13.05,10.5,49.1
7/26/2018 3:29:13 PM,0.08658266,-0.993373,-0.07558803,13.05,10.5,49.1
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,13,10.1,49.25
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,13,10.1,49.25
7/26/2018 3:29:13 PM,0.08658266,-0.993373,-0.07558803,12.4,9.900001,49.05
7/26/2018 3:29:13 PM,0.08658266,-0.993373,-0.07558803,12.4,9.900001,49.05
7/26/2018 3:29:13 PM,0.08401798,-0.993761,-0.07334903,12.25,10.1,49.2
7/26/2018 3:29:13 PM,0.08401798,-0.993761,-0.07334903,12.25,10.1,49.2
7/26/2018 3:29:13 PM,0.08658266,-0.993373,-0.07558803,13.05,10.6,49.2
7/26/2018 3:29:13 PM,0.08658266,-0.993373,-0.07558803,13.05,10.6,49.2
7/26/2018 3:29:13 PM,0.08664429,-0.9940801,-0.06555626,13.55,10.3,49.5
7/26/2018 3:29:13 PM,0.08664429,-0.9940801,-0.06555626,13.55,10.3,49.5
7/26/2018 3:29:13 PM,0.08664429,-0.9940801,-0.06555626,13.25,10,49.75
7/26/2018 3:29:13 PM,0.08664429,-0.9940801,-0.06555626,13.25,10,49.75
7/26/2018 3:29:13 PM,0.08658266,-0.993373,-0.07558803,13.1,9.8,49.4
7/26/2018 3:29:13 PM,0.08658266,-0.993373,-0.07558803,13.1,9.8,49.4
7/26/2018 3:29:13 PM,0.08658266,-0.993373,-0.07558803,12.9,8.75,49.3
7/26/2018 3:29:13 PM,0.08658266,-0.993373,-0.07558803,12.9,8.75,49.3
7/26/2018 3:29:13 PM,0.09381998,-0.9928883,-0.07328461,12.05,10.6,49.1
7/26/2018 3:29:13 PM,0.09381998,-0.9928883,-0.07328461,12.05,10.6,49.1
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,11.1,10.7,48.65
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,11.1,10.7,48.65
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,10.65,10.6,48.2
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,10.65,10.6,48.2
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,11.4,10.45,48.1
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,11.4,10.45,48.1
7/26/2018 3:29:13 PM,0.09290404,-0.993027,-0.07256915,11.35,10.5,48.65
7/26/2018 3:29:13 PM,0.09290404,-0.993027,-0.07256915,11.35,10.5,48.65
7/26/2018 3:29:13 PM,0.09381998,-0.9928883,-0.07328461,13.25,10.9,50.1
7/26/2018 3:29:13 PM,0.09381998,-0.9928883,-0.07328461,13.25,10.9,50.1
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,13.35,11.6,48.95
7/26/2018 3:29:13 PM,0.09667861,-0.9924467,-0.07551755,13.35,11.6,48.95
